Name,Link,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World,Runtime,Color,Sound_Mix,Aspect_Ratio
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/?ref_=chtmvm_t_67,25000000,28767189,727327,1994-09-25 00:00:00,29330423,0,,,
Dogma,https://www.imdb.com/title/tt0120655/?ref_=chtmvm_t_68,10000000,30652890,8669945,1999-11-14 00:00:00,31429330,130,Color,DTS; Dolby Digital; SDDS,2.39 : 1
Despicable Me 4,https://www.imdb.com/title/tt7510222/?ref_=chtmvm_t_69,0,0,0,1900-01-01 00:00:00,0,0,,,
Be Kind Rewind,https://www.imdb.com/title/tt0799934/?ref_=chtmvm_t_70,20000000,11175164,4100000,2008-02-24 00:00:00,30579406,0,,,
Ghostbusters: Frozen Empire,https://www.imdb.com/title/tt21235248/?ref_=chtmvm_t_71,100000000,113213592,45004673,2024-03-24 00:00:00,201575128,115,Color,IMAX 6-Track; Dolby Atmos,2.39 : 1
Longlegs,https://www.imdb.com/title/tt23468450/?ref_=chtmvm_t_72,0,0,0,1900-01-01 00:00:00,0,0,,,
The Beekeeper,https://www.imdb.com/title/tt15314262/?ref_=chtmvm_t_73,40000000,66220535,16576007,2024-01-14 00:00:00,152720535,0,,,
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/?ref_=chtmvm_t_74,93000000,319205075,47211490,2001-12-23 00:00:00,887184080,178,Color,DTS; SDDS,2.39 : 1
Interstellar,https://www.imdb.com/title/tt0816692/?ref_=chtmvm_t_75,165000000,188020017,47510360,2014-11-09 00:00:00,705191242,169,Color,Datasat; Dolby Digital; IMAX 6-Track; Dolby Surround 7.1,2.39 : 1
Colors of Evil: Red,https://www.imdb.com/title/tt27578157/?ref_=chtmvm_t_76,0,0,0,1900-01-01 00:00:00,0,0,,,
Saltburn,https://www.imdb.com/title/tt17351924/?ref_=chtmvm_t_77,0,0,0,1900-01-01 00:00:00,0,131,Color,Dolby Digital; Dolby Atmos,1.37 : 1
Monkey Man,https://www.imdb.com/title/tt9214772/?ref_=chtmvm_t_78,10000000,25116955,10119435,2024-04-07 00:00:00,34661984,121,Color,Dolby Atmos; 12-Track Digital Sound; Dolby Digital; DTS:X; Dolby Surround 7.1; Auro 11.1,2.39 : 1
The Godfather,https://www.imdb.com/title/tt0068646/?ref_=chtmvm_t_79,6000000,136381073,302393,1972-03-19 00:00:00,250342030,175,Color,Mono; Dolby Digital,1.85 : 1
St. Elmo's Fire,https://www.imdb.com/title/tt0090060/?ref_=chtmvm_t_80,10000000,37803872,6128157,1985-06-30 00:00:00,37803872,110,Color,Dolby Stereo,2.39 : 1
